Year,Survey Country,NPFMC Sablefish Mgmt Area ID,NPFMC Sablefish Management Area,Species Code,Common Name,CPUE,RPN,RPW
2016,United States,1,Aleutians,20510,"""Sablefish""",2.3830028712041,119727.461568563,289992.280782933
2016,United States,2,Bering Sea,20510,"""Sablefish""",2.04115613332086,61833.5866910722,160688.443395378
2016,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",7.58483420683238,131654.738477524,368483.561434022
2016,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",5.95905236583309,66342.8996042901,219801.473102984
2016,United States,6,West Yakutat,20510,"""Sablefish""",7.64108108950542,44180.7308595204,167212.806241937
2016,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",8.82570090239382,80728.6861541963,182495.659120406
2014,United States,1,Aleutians,20510,"""Sablefish""",1.26541202459937,62940.0031254455,180220.30373503
2014,United States,2,Bering Sea,20510,"""Sablefish""",3.28624769658051,117191.859175988,301259.850034288
2014,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",6.76258280468655,117851.150291704,381180.022151925
2014,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",7.60191393326179,74120.3037539705,262994.45487159
2014,United States,6,West Yakutat,20510,"""Sablefish""",5.57608599849223,32240.9292432821,124581.936865954
2014,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",9.41227519531712,74347.5617678099,181810.797958638
2013,United States,2,Bering Sea,20510,"""Sablefish""",2.77939498994177,99716.96864824,268262.6462277
2013,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",6.5559137898821,65712.705249485,240681.649835394
2013,United States,6,West Yakutat,20510,"""Sablefish""",4.60670161163933,26635.9487184986,110972.594107183
2013,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",5.6337408346851,44500.9188531776,108553.123924029
2012,United States,1,Aleutians,20510,"""Sablefish""",1.63498798158449,81612.9923138512,194051.421019776
2012,United States,2,Bering Sea,20510,"""Sablefish""",1.11764248963436,24816.1686698654,68459.3424421633
2012,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",8.39512052191551,146620.945397876,469014.830757641
2012,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",7.71683686478714,77235.7774103833,274776.246540598
2012,United States,6,West Yakutat,20510,"""Sablefish""",5.35511663815394,30963.2844018061,121590.054449751
2012,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",8.43235820746426,77130.7805236756,152135.031551595
2011,United States,1,Aleutians,20510,"""Sablefish""",1.06563034967363,61639.2180761883,185003.029137228
2011,United States,2,Bering Sea,20510,"""Sablefish""",1.4689939016675,34407.3631569527,94402.1565886345
2011,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",12.7863683510045,225921.070737554,711714.108883778
2011,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",9.17733362445813,88052.0748702785,286804.393193543
2011,United States,6,West Yakutat,20510,"""Sablefish""",9.38735073482492,54277.6619487577,191019.842327494
2011,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",10.0574562827469,91995.5526182862,213567.743861006
2010,United States,1,Aleutians,20510,"""Sablefish""",1.02868581364487,50078.8600612905,165753.147848321
2010,United States,2,Bering Sea,20510,"""Sablefish""",2.15805809643316,25913.2746719224,86003.9557406774
2010,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",8.783079232682,157014.919902624,512131.781836793
2010,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",10.7561227761839,100813.9369914,353500.667869282
2010,United States,6,West Yakutat,20510,"""Sablefish""",10.0937791995636,58362.2313318769,233415.694572424
2010,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",6.3120853332932,57736.6445436329,158062.358072759
2009,United States,1,Aleutians,20510,"""Sablefish""",1.36741377113304,68361.6246723056,209462.505082982
2009,United States,2,Bering Sea,20510,"""Sablefish""",1.61876997217843,22267.5357082087,74840.3913409829
2009,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",7.80743107942987,138076.377361004,470489.503597323
2009,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",7.11574585878089,71197.9211833693,266990.49805
2009,United States,6,West Yakutat,20510,"""Sablefish""",6.47129788810764,37417.0443890384,141002.247504495
2009,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",8.15879436542508,74628.4920605432,215451.641964883
2008,United States,1,Aleutians,20510,"""Sablefish""",1.32019943890919,65292.1891376842,201299.664803452
2008,United States,2,Bering Sea,20510,"""Sablefish""",3.46827873171163,99488.0906529424,297290.941356817
2008,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",8.31268673551545,145136.427800036,510094.10631846
2008,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",6.82739863436897,64939.7744609113,236235.864085557
2008,United States,6,West Yakutat,20510,"""Sablefish""",5.99121325839797,34641.1950600571,133608.341450165
2008,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",6.79733067935005,62175.1837240149,171364.52400032
2007,United States,1,Aleutians,20510,"""Sablefish""",1.71076855165049,73437.9723205743,195130.166730711
2007,United States,2,Bering Sea,20510,"""Sablefish""",3.96394575429678,104202.936099029,305785.942878504
2007,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",7.88710880909139,138301.927024204,473217.329599169
2007,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",8.69799489787729,85223.2489013674,302098.35892872
2007,United States,6,West Yakutat,20510,"""Sablefish""",7.24380993383411,41883.7090374288,169659.584033801
2007,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",6.12524968500449,56027.6588687361,136368.233720169
2006,United States,1,Aleutians,20510,"""Sablefish""",1.80755116923465,87585.2944288267,239644.098352204
2006,United States,2,Bering Sea,20510,"""Sablefish""",3.36934087238936,109496.616902189,295551.827020637
2006,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",9.74525281982126,171275.599453035,602057.160351223
2006,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",8.03998746568198,83256.5965308472,303108.738492936
2006,United States,6,West Yakutat,20510,"""Sablefish""",8.06730201592438,46645.1402560747,192016.973972402
2006,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",8.98455832567969,82181.7550049921,230841.357950119
2005,United States,1,Aleutians,20510,"""Sablefish""",1.58484581349615,68422.0699229595,182971.429571164
2005,United States,2,Bering Sea,20510,"""Sablefish""",3.55929335670645,103146.263203021,262359.514716783
2005,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",8.08505153266732,141699.918281405,478684.979304233
2005,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",9.71627280403349,89698.0434461478,300709.799109155
2005,United States,6,West Yakutat,20510,"""Sablefish""",5.80286115847807,33552.1432183202,131546.301431405
2005,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",10.5144566292789,96175.734788014,267937.752434415
2004,United States,1,Aleutians,20510,"""Sablefish""",1.51840377747467,74142.6118611147,192639.549776231
2004,United States,2,Bering Sea,20510,"""Sablefish""",2.58708225284754,78343.2729303781,230224.652331768
