"","Var1","Var2","value","L1"
"1","Female",1,0.42236250942391,"USLongline"
"2","Male",1,0.435707782384459,"USLongline"
"3","Female",2,0.807976851540731,"USLongline"
"4","Male",2,0.784383985205587,"USLongline"
"5","Female",3,0.960338979788313,"USLongline"
"6","Male",3,0.944872408717737,"USLongline"
"7","Female",4,0.992874451234737,"USLongline"
"8","Male",4,0.987768086719331,"USLongline"
"9","Female",5,0.998754432243248,"USLongline"
"10","Male",5,0.997378541565178,"USLongline"
"11","Female",6,0.999783329799321,"USLongline"
"12","Male",6,0.999442449383712,"USLongline"
"13","Female",7,0.999962341623251,"USLongline"
"14","Male",7,0.999881609012689,"USLongline"
"15","Female",8,0.999993455751748,"USLongline"
"16","Male",8,0.999974869409076,"USLongline"
"17","Female",9,0.999998862774025,"USLongline"
"18","Male",9,0.999994665977399,"USLongline"
"19","Female",10,0.999999802379572,"USLongline"
"20","Male",10,0.999998867859754,"USLongline"
"21","Female",11,0.999999965658713,"USLongline"
"22","Male",11,0.999999759705312,"USLongline"
"23","Female",12,0.999999994032379,"USLongline"
"24","Male",12,0.99999994899793,"USLongline"
"25","Female",13,0.999999998962983,"USLongline"
"26","Male",13,0.999999989174914,"USLongline"
"27","Female",14,0.999999999819793,"USLongline"
"28","Male",14,0.999999997702397,"USLongline"
"29","Female",15,0.999999999968685,"USLongline"
"30","Male",15,0.999999999512339,"USLongline"
"31","Female",16,0.999999999994558,"USLongline"
"32","Male",16,0.999999999896495,"USLongline"
"33","Female",17,0.999999999999054,"USLongline"
"34","Male",17,0.999999999978031,"USLongline"
"35","Female",18,0.999999999999836,"USLongline"
"36","Male",18,0.999999999995337,"USLongline"
"37","Female",19,0.999999999999971,"USLongline"
"38","Male",19,0.99999999999901,"USLongline"
"39","Female",20,0.999999999999995,"USLongline"
"40","Male",20,0.99999999999979,"USLongline"
"41","Female",21,0.999999999999999,"USLongline"
"42","Male",21,0.999999999999955,"USLongline"
"43","Female",22,1,"USLongline"
"44","Male",22,0.99999999999999,"USLongline"
"45","Female",23,1,"USLongline"
"46","Male",23,0.999999999999998,"USLongline"
"47","Female",24,1,"USLongline"
"48","Male",24,1,"USLongline"
"49","Female",25,1,"USLongline"
"50","Male",25,1,"USLongline"
"51","Female",26,1,"USLongline"
"52","Male",26,1,"USLongline"
"53","Female",27,1,"USLongline"
"54","Male",27,1,"USLongline"
"55","Female",28,1,"USLongline"
"56","Male",28,1,"USLongline"
"57","Female",29,1,"USLongline"
"58","Male",29,1,"USLongline"
"59","Female",30,1,"USLongline"
"60","Male",30,1,"USLongline"
"61","Female",1,0.51082081018119,"USJPLL"
"62","Male",1,0.304851652370754,"USJPLL"
"63","Female",2,0.739484314781257,"USJPLL"
"64","Male",2,0.5,"USJPLL"
"65","Female",3,0.885267852711967,"USJPLL"
"66","Male",3,0.695148347629246,"USJPLL"
"67","Female",4,0.954491951042033,"USJPLL"
"68","Male",4,0.838701746641314,"USJPLL"
"69","Female",5,0.982762665328554,"USJPLL"
"70","Male",5,0.922220037437497,"USJPLL"
"71","Female",6,0.993588882950391,"USJPLL"
"72","Male",6,0.964332629252402,"USJPLL"
"73","Female",7,0.997631884821557,"USJPLL"
"74","Male",7,0.984038728535476,"USJPLL"
"75","Female",8,0.9991275130559,"USJPLL"
"76","Male",8,0.992937018742544,"USJPLL"
"77","Female",9,0.999678852872496,"USJPLL"
"78","Male",9,0.99689025512581,"USJPLL"
"79","Female",10,0.999881832585778,"USJPLL"
"80","Male",10,0.998633861418781,"USJPLL"
"81","Female",11,0.999956525390309,"USJPLL"
"82","Male",11,0.999400431152563,"USJPLL"
"83","Female",12,0.999984006145352,"USJPLL"
"84","Male",12,0.999736975417134,"USJPLL"
"85","Female",13,0.999994116130204,"USJPLL"
"86","Male",13,0.999884635672368,"USJPLL"
"87","Female",14,0.999997835437217,"USJPLL"
"88","Male",14,0.999949404635505,"USJPLL"
"89","Female",15,0.999999203700763,"USJPLL"
"90","Male",15,0.999977811184205,"USJPLL"
"91","Female",16,0.999999707057734,"USJPLL"
"92","Male",16,0.999990269154126,"USJPLL"
"93","Female",17,0.999999892232543,"USJPLL"
"94","Male",17,0.999995732593394,"USJPLL"
"95","Female",18,0.999999960354566,"USJPLL"
"96","Male",18,0.999998128559067,"USJPLL"
"97","Female",19,0.999999985415259,"USJPLL"
"98","Male",19,0.999999179293942,"USJPLL"
"99","Female",20,0.999999994634574,"USJPLL"
"100","Male",20,0.999999640085869,"USJPLL"
"101","Female",21,0.99999999802617,"USJPLL"
"102","Male",21,0.999999842162554,"USJPLL"
"103","Female",22,0.999999999273868,"USJPLL"
"104","Male",22,0.999999930781666,"USJPLL"
"105","Female",23,0.999999999732871,"USJPLL"
"106","Male",23,0.999999969644862,"USJPLL"
"107","Female",24,0.999999999901729,"USJPLL"
"108","Male",24,0.999999986688001,"USJPLL"
"109","Female",25,0.999999999963848,"USJPLL"
"110","Male",25,0.999999994162131,"USJPLL"
"111","Female",26,0.9999999999867,"USJPLL"
"112","Male",26,0.99999999743985,"USJPLL"
"113","Female",27,0.999999999995107,"USJPLL"
"114","Male",27,0.999999998877267,"USJPLL"
"115","Female",28,0.9999999999982,"USJPLL"
"116","Male",28,0.999999999507635,"USJPLL"
"117","Female",29,0.999999999999338,"USJPLL"
"118","Male",29,0.999999999784077,"USJPLL"
"119","Female",30,0.999999999999756,"USJPLL"
"120","Male",30,0.999999999905309,"USJPLL"
